FEEDER_ID,FROM_TO,SOURCE_LOCATION,DESTINATION_LOCATION,RANK,FROM_SWITCH,TO_SWITCH
41899,30328-4767,1S-MH-MU-ZST-CL01-0785,1S-MH-MU-ZST-CL01-0073,1,30328,4767
41899,7034-10437,1S-MH-MU-ZST-CL01-0073,1S-MH-MU-ZST-CL01-0443,1,7034,10437
41899,10435-28960,1S-MH-MU-ZST-CL01-0443,1S-MH-MU-ZST-CL01-0725,1,10435,28960
41900,41900-38457,1S-MH-MU-ZST-RSTN-BAND,1S-MH-MU-ZST-CL02-1259,1,41900,38457
41900,38455-4568,1S-MH-MU-ZST-CL02-1259,1S-MH-MU-ZST-CL02-0142,1,38455,4568
41900,4566-18925,1S-MH-MU-ZST-CL02-0142,1S-MH-MU-ZST-CL02-0593,1,4566,18925
41900,18927-4117,1S-MH-MU-ZST-CL02-0593,1S-MH-MU-ZST-CL02-0300,1,18927,4117
41900,14243-15836,1S-MH-MU-ZST-CL02-0300,1S-MH-MU-ZST-CL02-0218,1,14243,15836
41900,15838-38936,1S-MH-MU-ZST-CL02-0218,1S-MH-MU-ZST-CL02-1151,1,15838,38936
41900,38934-39509,1S-MH-MU-ZST-CL02-1151,1S-MH-MU-ZST-CL02-1320,1,38934,39509
41900,39508-39047,1S-MH-MU-ZST-CL02-1320,1S-MH-MU-ZST-CL02-1278,1,39508,39047
41900,39510-HTCONSUMER,1S-MH-MU-ZST-CL02-1320,NAN,1.1,39510,HTCONSUMER
41900,13086-36642,1S-MH-MU-ZST-CL02-0142,1S-MH-MU-ZST-CL01-1081,1.2,13086,36642
41900,36640-25666,1S-MH-MU-ZST-CL01-1081,1S-MH-MU-ZST-CL01-0658,1.2,36640,25666
41900,25664-39346,1S-MH-MU-ZST-CL01-0658,1S-MH-MU-ZST-CL01-0401,1.2,25664,39346
41903,41903-CAP BANK,1S-MH-MU-ZST-RSTN-BAND,1S-MH-MU-ZST-RSTN-BAND,1,41903,CAP BANK
41905,41905-43176,1S-MH-MU-ZST-RSTN-BAND,1S-MH-MU-ZST-CL02-1393,1,41905,43176
41905,43175-29816,1S-MH-MU-ZST-CL02-1393,1S-MH-MU-ZST-CL02-0756,1,43175,29816
41905,29814-32837,1S-MH-MU-ZST-CL02-0756,1S-MH-MU-ZST-CL02-0863,1,29814,32837
41905,32839-11020,1S-MH-MU-ZST-CL02-0863,1S-MH-MU-ZST-CL02-0352,1,32839,11020
41905,11018-29475,1S-MH-MU-ZST-CL02-0352,1S-MH-MU-ZST-CL02-0741,1,11018,29475
41905,29474-25217,1S-MH-MU-ZST-CL02-0741,1S-MH-MU-ZST-CL02-0645,1,29474,25217
41905,25215-40665,1S-MH-MU-ZST-CL02-0645,1S-MH-MU-ZST-CL02-1329,1,25215,40665
