FEEDER_ID,FROM_TO,SOURCE_LOCATION,DESTINATION_LOCATION,LOCATION,RANK,LATEST_DT_DATE,DT_LOAD,DT_LOAD_CAL
14420,44022-42096,1S-MH-MU-ZCT-CL10-5815,1S-MH-MU-ZCT-CL10-5733,1S-MH-MU-ZCT-CL10-5733,1,2025-04-04,121.75714285714284,6.7269396367781
14420,42095-36863,1S-MH-MU-ZCT-CL10-5733,1S-MH-MU-ZCT-CL10-4588,1S-MH-MU-ZCT-CL10-4588,2,2022-07-06,436.5075144508671,24.11652927956963
14420,41628-15335,1S-MH-MU-ZCT-CL10-5733,1S-MH-MU-ZCT-CL10-4587,1S-MH-MU-ZCT-CL10-4587,2,2018-04-09,93.68878048780488,5.176195467433676
14420,41627-42094,1S-MH-MU-ZCT-CL10-5733,1S-MH-MU-ZCT-CL10-5733,1S-MH-MU-ZCT-CL10-5733,2,2025-04-04,121.75714285714284,6.7269396367781
14420,15333-38318,1S-MH-MU-ZCT-CL10-4587,1S-MH-MU-ZCT-CL10-5603,1S-MH-MU-ZCT-CL10-5603,3,2025-04-04,215.59350253807105,11.911288681903311
14420,15332-39627,1S-MH-MU-ZCT-CL10-4587,1S-MH-MU-ZCT-CL10-4708,1S-MH-MU-ZCT-CL10-4708,3,2025-04-04,601.2897607655502,33.22055552525896
14424,14424-12239,1S-MH-MU-ZCT-RSTN-POIS,1S-MH-MU-ZCT-CL10-4507,1S-MH-MU-ZCT-CL10-4507,0,2025-04-04,366.51674641148327,20.24962126346179
14424,12241-11864,1S-MH-MU-ZCT-CL10-4507,1S-MH-MU-ZCT-CL10-4508,1S-MH-MU-ZCT-CL10-4508,1,2025-04-04,443.3726829268292,24.495821802787702
14424,11866-12930,1S-MH-MU-ZCT-CL10-4508,1S-MH-MU-ZCT-CL10-4435,1S-MH-MU-ZCT-CL10-4435,2,2025-04-04,315.6153110047847,17.43737653291674
14424,12932-36491,1S-MH-MU-ZCT-CL10-4435,1S-MH-MU-ZCT-CL10-5382,1S-MH-MU-ZCT-CL10-5382,3,2025-04-04,197.39155963302755,10.905652640180723
14424,36489-14056,1S-MH-MU-ZCT-CL10-5382,1S-MH-MU-ZCT-CL10-4250,1S-MH-MU-ZCT-CL10-4250,4,2025-04-04,410.9684210526316,22.705524260590654
14424,14054-13066,1S-MH-MU-ZCT-CL10-4250,1S-MH-MU-ZCT-CL10-4251,1S-MH-MU-ZCT-CL10-4251,5,2025-04-04,240.95223880597013,13.312329180523433
14426,14426-16236,1S-MH-MU-ZCT-RSTN-POIS,1S-MH-MU-ZCT-CL10-4417,1S-MH-MU-ZCT-CL10-4417,0,2025-04-04,172.06190476190477,9.50621885469526
14426,12281-31146,1S-MH-MU-ZCT-CL10-4417,1S-MH-MU-ZCT-CL10-5119,1S-MH-MU-ZCT-CL10-5119,1,2025-04-04,192.52235294117648,10.63663466943621
