SWNO,Month_01,Month_02,Month_03,Month_04,Month_05,Month_06,Month_07,Month_08,Month_09,Month_10,Month_11,Month_12
17813,258.620,318.492,308.579,400.141,404.795,377.096,348.952,348.952,314.238,363.195,332.184,292.659
17814,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17815,112.638,91.857,136.124,68.105,64.711,79.712,75.697,75.697,133.365,140.955,160.705,175.913
17816,104.916,105.302,91.929,114.585,120.287,120.445,128.801,128.801,103.529,123.431,109.971,108.002
17817,60.164,92.266,89.579,82.029,82.113,79.889,57.668,57.668,63.647,63.391,38.836,47.703
17820,104.299,110.366,107.156,130.399,142.063,131.710,89.454,89.454,112.291,117.539,103.677,99.877
17821,0.000,1.441,3.101,0.000,0.000,0.000,0.000,0.000,,,,
17822,125.329,143.523,146.661,163.678,180.759,168.502,111.728,111.728,132.752,124.757,87.325,119.297
17823,65.286,67.500,73.450,75.495,79.715,79.974,59.968,59.968,71.760,75.504,72.502,71.664
17824,1.208,12.709,16.627,2.615,1.223,26.691,1.237,1.237,1.219,0.628,1.236,1.231
17825,0.000,0.043,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17826,13.698,14.869,17.632,34.870,44.763,55.286,0.000,0.000,0.503,0.000,0.000,0.000
18090,28.119,23.959,23.245,27.066,26.205,21.118,0.000,0.000,31.564,24.419,26.791,26.009
18091,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18092,0.150,0.337,0.227,0.454,0.440,0.170,0.000,0.000,5.057,0.008,0.390,0.039
18093,0.024,0.000,1.624,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18094,82.448,83.178,88.176,103.346,112.140,106.465,67.000,67.000,94.662,97.494,85.806,81.793
18095,219.108,216.549,246.729,275.676,292.870,312.693,234.000,234.000,262.390,264.497,237.488,215.710
18096,74.767,78.564,95.186,106.869,119.428,136.081,107.000,107.000,100.911,104.921,90.656,76.691
18097,31.629,32.964,36.085,39.903,40.808,48.853,45.000,45.000,34.862,38.827,35.894,32.483
18100,76.805,76.213,109.607,113.813,103.110,104.936,75.000,75.000,87.359,102.993,91.570,88.735
18101,24.779,21.143,24.480,28.542,34.029,28.935,18.000,18.000,28.459,31.336,23.434,23.463
18102,35.004,35.254,40.602,35.884,37.422,38.026,36.000,36.000,40.182,45.245,42.881,39.463
18103,50.972,43.546,56.171,60.186,71.452,67.323,75.000,75.000,64.525,72.028,56.237,61.321
18104,252.755,250.834,303.932,313.561,328.621,322.483,279.000,279.000,314.581,342.969,284.414,284.899
18105,38.444,40.091,47.153,44.939,45.298,45.860,44.000,44.000,44.472,50.936,38.288,39.381
18106,30.121,33.420,32.361,30.120,39.291,39.996,29.000,29.000,46.562,49.614,40.287,41.170
18444,46.872,56.426,59.648,82.695,73.248,50.413,49.000,49.000,46.821,52.473,39.471,39.449
18445,76.663,80.811,95.505,114.269,113.267,113.536,123.000,123.000,95.784,111.087,117.923,80.675
18446,342.577,355.698,413.375,490.562,501.897,468.586,438.000,438.000,402.881,462.600,402.349,351.461
18447,59.213,72.644,76.268,79.329,89.831,77.845,69.000,69.000,77.701,90.361,83.325,63.882
18448,81.158,80.939,105.662,111.885,127.159,120.657,122.000,122.000,108.403,123.904,88.263,106.995
18449,48.423,53.186,59.900,64.770,78.168,70.933,52.000,52.000,60.388,68.007,54.788,48.952
18450,17.115,17.855,20.976,23.370,25.231,23.991,23.000,23.000,19.721,22.488,18.501,16.422
18614,29.236,20.734,46.191,54.079,59.474,56.066,56.071,56.071,49.973,56.526,47.939,39.849
18615,71.845,76.573,82.694,89.513,88.229,86.112,75.406,75.406,80.876,89.744,83.576,75.843
18616,41.138,43.907,45.735,33.589,32.971,35.035,27.759,27.759,35.383,38.659,36.713,26.820
18617,68.714,74.763,84.706,92.469,92.676,88.118,21.890,21.890,84.383,87.624,73.633,66.373
18618,292.710,298.634,338.286,375.089,386.068,366.041,296.653,296.653,344.384,373.393,339.195,238.318
18619,86.808,97.480,96.947,112.768,117.312,108.219,113.731,113.731,97.722,113.743,104.847,68.304
18620,0.000,0.036,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.288,0.000,0.000
18623,4.692,5.182,4.075,5.460,6.303,5.233,6.008,6.008,,,,
18624,62.971,79.495,61.061,67.407,63.743,64.851,58.972,58.972,57.169,61.262,42.979,40.873
18625,250.534,274.059,283.954,314.736,366.933,321.212,367.502,367.502,292.625,321.709,250.947,228.649
