FEEDER_ID,FROM_TO,SOURCE_LOCATION,DESTINATION_LOCATION,RANK,FROM_SWITCH,TO_SWITCH,LATEST_DT_DATE,DT_LOAD,LOCATION
18619,41804-DT,1S-MH-MU-ZCT-CL03-5386,NAN,9.1,41804,DT,2018-04-09,309.7547780678851,NAN
18623,18623-STN XMER,1S-MH-MU-ZCT-RSTN-CHIN,1S-MH-MU-ZCT-RSTN-CHIN,1,18623,STN XMER,2018-01-05,474.9068965517241,1S-MH-MU-ZCT-RSTN-CHIN
18627,34453-HTCONSUMER,1S-MH-MU-ZCT-CL02-5213,NAN,1.1,34453,HTCONSUMER,2018-04-09,309.7547780678851,NAN
18630,18630-CAP BANK,1S-MH-MU-ZCT-RSTN-CHIN,1S-MH-MU-ZCT-RSTN-CHIN,1,18630,CAP BANK,2018-01-05,474.9068965517241,1S-MH-MU-ZCT-RSTN-CHIN
39609,39609-CAP BANK,1S-MH-MU-ZCT-RSTN-MALW,1S-MH-MU-ZCT-RSTN-MALW,1,39609,CAP BANK,2025-04-04,186.30285714285714,1S-MH-MU-ZCT-RSTN-MALW
39618,38801-HTCONSUMER,1S-MH-MU-ZCT-CL03-5638,NAN,5.1,38801,HTCONSUMER,2018-04-09,309.7547780678851,NAN
39619,31465-HTCONSUMER,1S-MH-MU-ZCT-CL06-5143,NAN,6.1,31465,HTCONSUMER,2018-04-09,309.7547780678851,NAN
39624,39624-STN XMER,1S-MH-MU-ZCT-RSTN-MALW,1S-MH-MU-ZCT-RSTN-MALW,1,39624,STN XMER,2025-04-04,186.30285714285714,1S-MH-MU-ZCT-RSTN-MALW
39625,39625-CAP BANK,1S-MH-MU-ZCT-RSTN-MALW,1S-MH-MU-ZCT-RSTN-MALW,1,39625,CAP BANK,2025-04-04,186.30285714285714,1S-MH-MU-ZCT-RSTN-MALW
40894,26864-HTCONSUMER,1S-MH-MU-ZNT-CL04-6866,NAN,3.2,26864,HTCONSUMER,2018-04-09,309.7547780678851,NAN
40896,14848-HTCONSUMER,1S-MH-MU-ZNT-CL10-6091,NAN,5.1,14848,HTCONSUMER,2018-04-09,309.7547780678851,NAN
40897,37778-HTCONSUMER,1S-MH-MU-ZNT-CL04-6393,NAN,1.1,37778,HTCONSUMER,2018-04-09,309.7547780678851,NAN
40719,14740-DT,1S-MH-MU-ZNT-CL05-6111,DT,5.2,14740,DT,,,DT
40724,40724-STN XMER,1S-MH-MU-ZNT-RSTN-DAWE,1S-MH-MU-ZNT-RSTN-DAWE,1,40724,STN XMER,,,1S-MH-MU-ZNT-RSTN-DAWE
11758,11758-CAP BANK,1S-MH-MU-ZNT-RSTN-DAHI,1S-MH-MU-ZNT-RSTN-DAHI,1,11758,CAP BANK,,,1S-MH-MU-ZNT-RSTN-DAHI
11762,18058-HTCONSUMER,1S-MH-MU-ZNT-CL09-6090,NAN,3.1,18058,HTCONSUMER,2018-04-09,309.7547780678851,NAN
11765,11765-STN XMER,1S-MH-MU-ZNT-RSTN-DAHI,1S-MH-MU-ZNT-RSTN-DAHI,1,11765,STN XMER,,,1S-MH-MU-ZNT-RSTN-DAHI
11768,16985-HTCONSUMER,1S-MH-MU-ZNT-CL09-6631,NAN,7.1,16985,HTCONSUMER,2018-04-09,309.7547780678851,NAN
11771,10409-DT,1S-MH-MU-ZNT-CL09-6456,DT,1.2,10409,DT,,,DT
11774,11774-CAP BANK,1S-MH-MU-ZNT-RSTN-DAHI,1S-MH-MU-ZNT-RSTN-DAHI,1,11774,CAP BANK,,,1S-MH-MU-ZNT-RSTN-DAHI
15503,15503-CAP BANK,1S-MH-MU-ZNT-RSTN-DAHI,1S-MH-MU-ZNT-RSTN-DAHI,1,15503,CAP BANK,,,1S-MH-MU-ZNT-RSTN-DAHI
