SWNO,VOLTAGE,Month_01,Month_02,Month_03,Month_04,Month_05,Month_06,Month_07,Month_08,Month_09,Month_10,Month_11,Month_12
33263,33KV,35.044,36.369,38.689,50.238,56.742,57.995,68.000,68.000,,,,
33264,33KV,12.521,11.732,12.648,13.591,14.138,12.066,22.000,22.000,,,,
33265,33KV,112.492,116.587,94.816,122.466,141.980,138.311,134.000,134.000,,,129.103,118.794
33266,33KV,48.864,52.146,46.555,52.366,64.106,57.949,38.000,38.000,,,,
33267,33KV,0.000,0.000,0.000,0.000,0.000,0.018,0.000,0.000,,,,
33268,33KV,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,
33269,33KV,3.572,2.383,1.454,0.755,1.275,1.561,0.000,0.000,,,3.954,4.406
33270,33KV,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,
33271,33KV,0.643,2.060,0.373,0.554,0.802,1.322,0.000,0.000,,,,
33273,33KV,81.711,108.182,132.540,136.313,,,,,,,101.348,87.820
33274,33KV,99.637,113.684,126.489,158.160,157.440,158.075,162.600,162.600,,,88.340,87.938
33275,33KV,0.000,0.000,0.000,0.000,,,,,,,0.000,0.000
33276,33KV,113.703,118.527,141.700,143.395,162.078,156.017,191.505,191.505,133.472,165.381,147.679,129.654
33277,33KV,134.840,131.264,150.333,150.094,162.629,126.357,108.193,108.193,148.616,164.634,152.367,133.876
33278,33KV,64.771,66.422,68.477,63.245,75.161,74.438,67.900,67.900,89.886,77.977,62.631,63.902
33279,33KV,64.625,66.213,68.400,63.073,75.003,74.414,68.300,68.300,,,70.835,64.120
33280,33KV,22.094,24.373,25.762,53.288,32.503,21.699,28.200,28.200,31.359,28.204,20.009,24.165
33281,33KV,22.173,24.582,25.975,54.145,33.224,21.720,28.000,28.000,,,19.389,24.233
33282,22KV,147.610,89.938,115.751,115.977,128.261,131.226,128.912,128.912,115.831,128.479,102.204,88.486
33283,33KV,95.716,94.544,110.213,124.374,133.960,127.225,140.870,140.870,114.300,129.867,116.518,104.919
33284,33KV,101.502,103.108,121.716,129.666,,,,,,,103.110,103.431
33285,33KV,99.385,108.459,122.702,139.587,140.099,129.561,155.272,155.272,120.965,133.680,123.926,104.113
33286,33KV,104.014,115.307,132.694,137.514,,,,,,,109.838,102.479
33287,33KV,103.843,98.541,116.051,133.422,165.401,105.750,0.000,0.000,132.975,155.592,118.630,121.410
33288,33KV,102.902,113.531,120.678,155.589,158.344,175.904,223.702,223.702,122.277,148.346,115.248,102.706
33289,33KV,97.592,99.968,119.148,142.142,161.105,149.510,152.702,152.702,130.003,141.748,121.500,101.325
