SWITCH_ID,YEAR,MONTH,YM,PRED_FAULTS
33056,2024,6,2024-06,0.047881830483675
33056,2024,7,2024-07,0.03303651511669159
33056,2024,8,2024-08,0.032987382262945175
33056,2024,9,2024-09,0.016677161678671837
33056,2024,10,2024-10,0.03438667207956314
33056,2024,11,2024-11,0.06008385866880417
33056,2024,12,2024-12,0.04318190738558769
33059,2024,1,2024-01,0.050530340522527695
33059,2024,2,2024-02,0.03580927476286888
33059,2024,3,2024-03,0.07022829353809357
33059,2024,4,2024-04,0.10630229860544205
33059,2024,5,2024-05,0.09769394248723984
33059,2024,6,2024-06,0.05895613506436348
33059,2024,7,2024-07,0.03839206323027611
33059,2024,8,2024-08,0.03892195597290993
33059,2024,9,2024-09,0.024709563702344894
33059,2024,10,2024-10,0.05317921191453934
33059,2024,11,2024-11,0.06337746232748032
33059,2024,12,2024-12,0.05508657172322273
33061,2024,1,2024-01,0.058709707111120224
33061,2024,2,2024-02,0.03825046494603157
33061,2024,3,2024-03,0.0669628158211708
33061,2024,4,2024-04,0.10854529589414597
33061,2024,5,2024-05,0.10823313891887665
33061,2024,6,2024-06,0.061088163405656815
33061,2024,7,2024-07,0.04164702817797661
33061,2024,8,2024-08,0.048451803624629974
33061,2024,9,2024-09,0.03389216959476471
33061,2024,10,2024-10,0.05715065449476242
33061,2024,11,2024-11,0.06640494614839554
33061,2024,12,2024-12,0.047982390969991684
33062,2024,1,2024-01,0.048107415437698364
33062,2024,2,2024-02,0.034200869500637054
33062,2024,3,2024-03,0.06898298114538193
33062,2024,4,2024-04,0.07006947696208954
33062,2024,5,2024-05,0.09038654714822769
33062,2024,6,2024-06,0.054181475192308426
33062,2024,7,2024-07,0.029940783977508545
33062,2024,8,2024-08,0.031247453764081
33062,2024,9,2024-09,0.02530057169497013
33062,2024,10,2024-10,0.06133918836712837
33062,2024,11,2024-11,0.04724239185452461
33062,2024,12,2024-12,0.04497017711400986
33063,2024,1,2024-01,0.09421918541193008
33063,2024,2,2024-02,0.08589627593755722
33063,2024,3,2024-03,0.1522492617368698
33063,2024,4,2024-04,0.1483522355556488
33063,2024,5,2024-05,0.2158234715461731
33063,2024,6,2024-06,0.12846270203590393
33063,2024,7,2024-07,0.07800278067588806
33063,2024,8,2024-08,0.06568925827741623
33063,2024,9,2024-09,0.06008218973875046
33063,2024,10,2024-10,0.11309869587421417
33063,2024,11,2024-11,0.10199921578168869
33063,2024,12,2024-12,0.10520407557487488
33064,2024,1,2024-01,0.07672466337680817
33064,2024,2,2024-02,0.06156817451119423
33064,2024,3,2024-03,0.12580464780330658
33064,2024,4,2024-04,0.17896729707717896
33064,2024,5,2024-05,0.11894093453884125
33064,2024,6,2024-06,0.09454657137393951
33064,2024,7,2024-07,0.06159505993127823
33064,2024,8,2024-08,0.05393412709236145
33064,2024,9,2024-09,0.03257845714688301
33064,2024,10,2024-10,0.07878034561872482
33064,2024,11,2024-11,0.1029999703168869
33064,2024,12,2024-12,0.06982310861349106
33065,2024,1,2024-01,0.06468667834997177
33065,2024,2,2024-02,0.05053534731268883
33065,2024,3,2024-03,0.10086871683597565
33065,2024,4,2024-04,0.09617237001657486
33065,2024,5,2024-05,0.1031169667840004
33065,2024,6,2024-06,0.07616251707077026
33065,2024,7,2024-07,0.035563405603170395
33065,2024,8,2024-08,0.0345270149409771
33065,2024,9,2024-09,0.030970565974712372
