FROM_SWITCH,TO_SWITCH,FEEDER_ID,FEEDERID_FULL,SOURCE_SS,DESTINATION_SS,SOURCE_LOCATION,DESTINATION_LOCATION,RANK,COMMISSIONEDDATE,NEUTRALMATERIAL,CABLECONDUCTORMATERIAL,CABLETYPE,REMARKS,MEASUREDLENGTH,CLUSTER_TYPE,FROM_SWITCH_N,FEEDER_ID_N,PATH,NO_OF_SEGMENT,DEDUP_KEY,AGG_MEASUREDLENGTH,COMMISSIONEDDATE_DT,SWNO,COMMISSIONEDDATE_DT_OLDEST
38034,13599,28196,KURLA_11KV_28196,GHATKOPAR WEST 3,GHATKOPAR WEST 2,1S-MH-MU-ZET-CL03-9668,1S-MH-MU-ZET-CL03-8284,4,,AL,AL,XLPE,,77.66417892,,38034,28196,GHATKOPAR (W) NO.2 TO GHATKOPAR WEST 3,2,13599,77.66417892,,13599,
38035,HTCONSUMER,28196,KURLA_11KV_28196,GHATKOPAR WEST 3,,1S-MH-MU-ZET-CL03-9668,,3.1,1999-10-28,AL,AL,XLPE,,,,38035,28196,GHATKOPAR (W) NO.2 TO MAHENDRA PARK (LILO),1,38035|HTCONSUMER,0.0,,HTCONSUMER,1999-10-28 00:00:00+00:00
38038,17498,3816,KANA_11kV_03816,AAKAR PINNACLE,DATTAPADA ROAD,1S-MH-MU-ZNT-CL01-7784,1S-MH-MU-ZNT-CL01-6139,1,2014-03-24,AL,AL,XLPE,,101.7,,38038,3816,SWNO_38038 -> JT.NO.8G | JT.NO.8C -> JT.NO.8D | JT.NO.8D -> SWNO_17498 | JT.NO.8G -> JT.NO.8C,4,17498,380.3,2014-03-24 00:00:00+00:00,17498,2014-03-24 00:00:00+00:00
38041,41113,1517,GOREG_11kV_01517,SUMIT SAMARTH,GOGATEWADI SHEETAL,1S-MH-MU-ZCT-CL01-5339,1S-MH-MU-ZCT-CL07-5642,2,2014-09-22,AL,AL,XLPE,AS PER HT SLD,34.5,,38041,1517,SWNO_38041 -> JT.NO.114 | JT.NO.114 -> JT.NO.114A | JT.NO.114A -> JT.NO.114B | JT.NO.114B -> JT.NO.114C | JT.NO.114C -> JT.NO.114D | JT.NO.114D -> SWNO_41113,6,41113,365.7,2014-09-22 00:00:00+00:00,41113,2014-09-22 00:00:00+00:00
38043,17030,41756,VAZIRA_11kV_41756,KASTUR PARK NO 4,KASTUR PARK NO 3,1S-MH-MU-ZNT-CL07-7412,1S-MH-MU-ZNT-CL07-6349,7,2024-04-23,AL,AL,XLPE,,40.3,,38043,41756,SWNO_38043 -> JT.NO.14 | JT.NO.14 -> SWNO_17030,2,17030,55.099999999999994,2024-04-23 00:00:00+00:00,17030,2024-04-23 00:00:00+00:00
38047,42584,10563,TGRNGR_11kV_10563,KANNAMWAR EASTERN GROOVE,ABHAY SHIKSHAN SANSTHA,1S-MH-MU-ZET-CL07-9593,1S-MH-MU-ZET-CL07-9279,6.1,2024-12-09,AL,AL,XLPE,,124.08392574,,38047,10563,SWNO_38047 -> JT.NO.01,4,42584,184.33088168,2024-12-09 00:00:00+00:00,42584,2024-12-09 00:00:00+00:00
38049,18143,35367,KALINA_11kV_35367,KALINA SOLITAIR,VALMIKI APARTMENT,1S-MH-MU-ZST-CL07-1245,1S-MH-MU-ZST-CL07-0558,8,2016-05-27,AL,AL,XLPE,,133.1,,38049,35367,SWNO_38049 -> SWNO_18143,1,18143,133.1,2016-05-27 00:00:00+00:00,18143,2016-05-27 00:00:00+00:00
38059,30007,37695,GORAI_11kV_37695,RSC 44 SOUTH,R S C 15,1S-MH-MU-ZNT-CL06-7796,1S-MH-MU-ZCT-CL05-4611,8,2024-03-24,AL,AL,XLPE,,177.0,,38059,37695,SWNO_30007 -> JT.NO.29 | JT.NO.29 -> JT.NO.29A | JT.NO.29A -> SWNO_38059,3,30007,411.4,2024-03-24 00:00:00+00:00,30007,2024-03-24 00:00:00+00:00
38068,4491,18629,CHVALI_11kV_18629,MASHAYAKH TOWER,CHINCHAVLI ROAD NO.2,1S-MH-MU-ZCT-CL03-5420,1S-MH-MU-ZCT-CL02-4146,3,2016-05-07,AL,AL,XLPE,,105.58388978,,38068,18629,SWNO_38068 -> JT.NO.22 | JT.NO.22 -> JT.NO.22A | JT.NO.22A -> JT.NO.22B | JT.NO.22B -> SWNO_04491,4,4491,222.78388978,2016-05-07 00:00:00+00:00,4491,2016-05-07 00:00:00+00:00
38072,29485,41729,GHOD_11KV_41729,HYDRODYNE INDIA,N T STRIP AND AUTOMATION,1S-MH-MU-ZNT-CL04-7804,1S-MH-MU-ZNT-CL04-7015,3,2010-03-26,AL,AL,XLPE,,80.3,,38072,41729,SWNO_38072 -> JT.NO.1B | JT.NO.1B -> JT.NO.1F | JT.NO.1D -> SWNO_29485 | JT.NO.1E -> JT.NO.1D | JT.NO.1F -> JT.NO.1G | JT.NO.1G -> JT.NO.1E,6,29485,317.82489245,2010-03-26 00:00:00+00:00,29485,2010-03-26 00:00:00+00:00
3808,STNXMER,3808,KANA_11kV_03807,KANAKIA CCI REC-STN,PT,1S-MH-MU-ZNT-RSTN-KANA,1S-MH-MU-ZNT-RSTN-KANA,1,1999-01-01,AL,AL,PILC,AS PER HT SLD,100.0,,3808,3808,KANAKIA CCI REC-STN 33192 TO P.T.(10 MVA NO.1) | SWNO_33192 -> SWNO_33198 | KANAKIA CCI REC-STN TO PT (10 MVA NO.1) | KANAKIA CCI REC-STN 33196 TO P.T.(10 MVA NO.3) | KANAKIA CCI REC-STN TO PT (10 MVA NO.3) | KANAKIA CCI REC-STN 33192 TO P.T.(10 MVA NO.2) | KANAKIA CCI REC-STN TO PT (10 MVA NO.2) | SWNO_03807 -> SWNO_41082 | SWITCHING DEVICE TO STATION TRANSFORMER | SWITCHING DEVICE TO CAP BANK (2.72MVAR) | SWNO_03810 | SWITCHING DEVICE TO CAP BANK (2.78MVAR),12,3808|STNXMER,861.0,,STNXMER,1999-01-01 00:00:00+00:00
