DESTINATION_LOCATION,FEEDER_ID,VAR_Month_01,VAR_Month_02,VAR_Month_03,VAR_Month_04,VAR_Month_05,VAR_Month_06,VAR_Month_07,VAR_Month_08,VAR_Month_09,VAR_Month_10,VAR_Month_11,VAR_Month_12,CYCLE_Month_01,CYCLE_Month_02,CYCLE_Month_03,CYCLE_Month_04,CYCLE_Month_05,CYCLE_Month_06,CYCLE_Month_07,CYCLE_Month_08,CYCLE_Month_09,CYCLE_Month_10,CYCLE_Month_11,CYCLE_Month_12
1S-MH-MU-ZST-CL07-0022,35370,0.172,0.1,0.036,0.155,0.689,1.067,0.0,0.045,1.569,1.226,1.234,0.679,2,1,0,1,2,1,0,1,0,6,5,4
1S-MH-MU-ZST-CL07-0024,35370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1S-MH-MU-ZST-CL07-1195,35372,9.327,3.619,3.451,17.378,16.167,5.563,0.0,4.915,21.985,25.873,13.53,9.575,1,0,0,1,1,0,0,1,0,3,2,1
1S-MH-MU-ZST-CL07-0025,35372,0.643,0.224,0.241,1.179,1.06,0.355,0.0,0.32,1.458,1.7,0.786,0.684,1,0,0,1,1,0,0,1,0,3,2,1
1S-MH-MU-ZST-CL07-0874,35372,0.293,0.097,0.112,0.558,0.508,0.172,0.0,0.165,0.703,0.84,0.403,0.311,1,0,0,1,1,0,0,1,0,3,2,1
1S-MH-MU-ZST-CL07-0045,35372,8.604,3.342,3.232,16.47,15.252,5.23,0.0,4.599,20.708,24.14,12.767,9.191,1,0,0,1,1,0,0,1,0,3,2,1
1S-MH-MU-ZET-CL02-8771,35372,4.296,1.518,1.601,7.767,7.48,2.64,0.0,2.192,9.907,11.823,6.542,4.395,1,0,0,1,1,0,0,1,0,3,2,1
1S-MH-MU-ZET-CL02-8430,35372,3.824,1.352,1.402,6.917,6.749,2.404,0.0,1.975,8.797,10.307,5.853,3.89,1,0,0,1,1,0,0,1,0,3,2,1
1S-MH-MU-ZET-CL02-9499,35372,1.402,0.535,0.532,2.526,2.551,0.93,0.0,0.701,3.162,4.438,1.958,1.392,1,0,0,1,1,0,0,1,0,3,2,1
1S-MH-MU-ZET-CL02-8431,35372,1.55,0.519,0.548,2.786,2.674,0.942,0.0,0.761,3.646,3.592,1.633,1.417,1,0,0,1,1,0,0,1,0,3,2,1
1S-MH-MU-ZST-CL07-0823,35372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1S-MH-MU-ZST-CL07-0097,35372,3.096,1.42,1.202,6.652,5.895,1.952,0.0,1.797,8.213,9.222,4.813,3.62,1,0,0,1,1,0,0,1,0,3,2,1
1S-MH-MU-ZST-CL07-1314,35372,2.272,1.114,0.897,5.2,4.62,1.533,0.0,1.411,6.324,7.249,3.913,2.634,1,0,0,1,1,0,0,1,0,3,2,1
